tamanio,costo_prom,costo_moda,costo_var,costo_min,costo_max,dens_celda_t2,dens_celda_t3,dens_total,entropia_costos,gradiente_prom,bfs_costo,bfs_nodos,bfs_tiempo,a_star_costo,a_star_nodos,a_star_tiempo,ucs_costo,ucs_nodos,ucs_tiempo,greedy_costo,greedy_nodos,greedy_tiempo,mejor_alg
4,1.125,1.0,0.234375,0,2,0.1875,0.0,0.1875,0.7029189307735104,0.4166666666666667,8,16,3.933906555175781e-05,6,11,3.981590270996094e-05,6,16,4.076957702636719e-05,6,7,1.9311904907226562e-05,Greedy
9,1.4074074074074074,1.0,0.3895747599451303,0,3,0.2962962962962963,0.06172839506172839,0.35802469135802467,0.8778616391235275,0.5902777777777778,19,81,0.00021123886108398438,17,38,0.00016927719116210938,17,80,0.0002460479736328125,25,17,5.602836608886719e-05,A*
3,1.1111111111111112,1.0,0.3209876543209877,0,2,0.2222222222222222,0.0,0.2222222222222222,0.848685557726417,0.6666666666666666,5,9,2.7894973754882812e-05,5,9,3.0517578125e-05,5,9,2.1219253540039062e-05,5,5,1.239776611328125e-05,Greedy
5,1.44,1.0,0.4864,0,3,0.32,0.08,0.4,1.020130652501313,0.725,14,25,6.127357482910156e-05,8,10,4.649162292480469e-05,8,25,7.176399230957031e-05,11,9,2.5987625122070312e-05,A*
8,1.421875,1.0,0.431396484375,0,3,0.28125,0.078125,0.359375,0.9146790307212513,0.6785714285714286,17,64,0.00015878677368164062,15,47,0.00018596649169921875,15,64,0.00019311904907226562,23,15,4.7206878662109375e-05,A*
5,1.32,1.0,0.4576,0,3,0.2,0.08,0.28,0.9149513939783582,0.675,12,25,6.127357482910156e-05,8,15,5.888938903808594e-05,8,25,6.818771362304688e-05,10,9,2.5987625122070312e-05,A*
8,1.4375,1.0,0.46484375,0,3,0.265625,0.09375,0.359375,0.9327836797833992,0.7053571428571429,20,64,0.00014281272888183594,15,48,0.000194549560546875,15,64,0.0002608299255371094,22,15,5.5789947509765625e-05,A*
4,1.5625,1.0,0.74609375,0,3,0.25,0.1875,0.4375,1.18030455699462,1.2083333333333333,8,16,4.029273986816406e-05,8,14,4.863739013671875e-05,8,16,4.076957702636719e-05,11,7,2.002716064453125e-05,A*
5,1.48,1.0,0.4895999999999999,0,3,0.36,0.08,0.44,1.0386495367023671,0.9,13,25,5.9604644775390625e-05,9,18,0.00010395050048828125,9,25,6.818771362304688e-05,12,9,2.5510787963867188e-05,A*
6,1.4166666666666667,1.0,0.4652777777777777,0,3,0.2777777777777778,0.08333333333333333,0.3611111111111111,0.9633905559608952,0.6,14,36,8.320808410644531e-05,11,23,9.131431579589844e-05,11,35,0.00010085105895996094,18,11,3.2901763916015625e-05,A*
5,1.68,2.0,0.6976,0,3,0.32,0.2,0.52,1.1764930290125502,0.95,13,25,6.0558319091796875e-05,11,18,7.033348083496094e-05,11,25,7.43865966796875e-05,15,9,2.6226043701171875e-05,A*
3,1.3333333333333333,1.0,0.4444444444444444,0,2,0.4444444444444444,0.0,0.4444444444444444,0.9649629230074277,0.6666666666666666,6,9,2.574920654296875e-05,5,8,2.6702880859375e-05,5,9,2.0265579223632812e-05,5,5,1.1920928955078125e-05,Greedy
5,1.4,1.0,0.48,0,3,0.28,0.08,0.36000000000000004,0.9937390880265915,0.675,12,25,7.748603820800781e-05,12,25,8.296966552734375e-05,12,25,6.842613220214844e-05,12,9,3.24249267578125e-05,Greedy
6,1.3055555555555556,1.0,0.37885802469135804,0,3,0.2222222222222222,0.05555555555555555,0.2777777777777778,0.8475822074487879,0.5333333333333333,15,36,9.059906005859375e-05,10,25,0.00011014938354492188,10,36,0.00010991096496582031,11,11,3.1948089599609375e-05,A*
10,1.57,1.0,0.4450999999999999,0,3,0.4,0.09,0.49,0.9758566896681841,0.6444444444444445,25,100,0.00025343894958496094,20,70,0.00028705596923828125,20,100,0.00032258033752441406,29,19,6.866455078125e-05,A*
7,1.4489795918367347,1.0,0.41066222407330283,0,3,0.3469387755102041,0.061224489795918366,0.40816326530612246,0.9374898899501019,0.6309523809523809,16,49,0.00012922286987304688,14,46,0.000186920166015625,14,49,0.0001430511474609375,15,13,4.100799560546875e-05,A*
4,1.5,1.0,0.625,0,3,0.3125,0.125,0.4375,1.1432752061942137,1.0833333333333333,8,16,4.124641418457031e-05,7,12,4.4345855712890625e-05,7,16,5.745887756347656e-05,11,7,1.9073486328125e-05,A*
10,1.5,1.0,0.51,0,3,0.27,0.12,0.39,0.960498696859102,0.75,32,100,0.0002601146697998047,18,37,0.00015974044799804688,18,100,0.0003132820129394531,25,19,6.270408630371094e-05,A*
10,1.5,1.0,0.45,0,3,0.33,0.09,0.42000000000000004,0.9490332560781995,0.7277777777777777,26,100,0.00023031234741210938,23,91,0.00038433074951171875,23,100,0.0003020763397216797,24,19,6.175041198730469e-05,A*
6,1.2777777777777777,1.0,0.36728395061728386,0,3,0.19444444444444445,0.05555555555555555,0.25,0.8135696219820651,0.6,14,36,8.320808410644531e-05,10,21,8.487701416015625e-05,10,36,0.00010228157043457031,12,11,3.2901763916015625e-05,A*
9,1.3703703703703705,1.0,0.3319615912208505,0,3,0.30864197530864196,0.037037037037037035,0.345679012345679,0.8236787120311602,0.4930555555555556,20,81,0.0002295970916748047,16,32,0.00015020370483398438,16,81,0.0002682209014892578,24,17,5.650520324707031e-05,A*
8,1.46875,1.0,0.4052734375,0,3,0.359375,0.0625,0.421875,0.9296920490585787,0.6339285714285714,17,64,0.00014472007751464844,16,49,0.00019097328186035156,16,64,0.00022673606872558594,24,15,4.8160552978515625e-05,A*
7,1.4081632653061225,1.0,0.4456476468138275,0,3,0.2653061224489796,0.08163265306122448,0.3469387755102041,0.9256341260592169,0.6785714285714286,18,49,0.00011038780212402344,13,36,0.00014972686767578125,13,49,0.00016045570373535156,17,13,3.9577484130859375e-05,A*
4,1.625,1.5,0.734375,0,3,0.3125,0.1875,0.5,1.2123138802671547,0.9166666666666666,11,16,4.100799560546875e-05,7,10,3.8623809814453125e-05,7,15,3.910064697265625e-05,7,7,2.002716064453125e-05,Greedy
10,1.49,1.0,0.44989999999999997,0,3,0.32,0.09,0.41000000000000003,0.9433275390149959,0.5944444444444444,25,100,0.00022912025451660156,20,84,0.000347137451171875,20,100,0.00031304359436035156,24,19,6.365776062011719e-05,A*
7,1.4081632653061225,1.0,0.4048313202832153,0,3,0.30612244897959184,0.061224489795918366,0.3673469387755102,0.9131976178575216,0.7142857142857143,17,49,0.00010991096496582031,13,20,9.202957153320312e-05,13,49,0.00014352798461914062,17,13,4.00543212890625e-05,A*
10,1.47,1.0,0.44910000000000005,0,3,0.3,0.09,0.39,0.9304540221959245,0.6388888888888888,30,100,0.00022339820861816406,20,81,0.00035691261291503906,20,100,0.00032448768615722656,30,19,7.557868957519531e-05,A*
6,1.2222222222222223,1.0,0.2839506172839506,0,3,0.19444444444444445,0.027777777777777776,0.2222222222222222,0.7332698710809967,0.4166666666666667,12,36,8.225440979003906e-05,10,24,9.417533874511719e-05,10,36,0.00011205673217773438,13,11,3.266334533691406e-05,A*
6,1.4722222222222223,1.0,0.5270061728395063,0,3,0.2777777777777778,0.1111111111111111,0.3888888888888889,1.0139078393835572,0.7,14,36,8.082389831542969e-05,10,17,7.462501525878906e-05,10,34,0.00010585784912109375,13,11,3.218650817871094e-05,A*
5,1.52,1.0,0.6496,0,3,0.24,0.16,0.4,1.0891743498897402,0.8,15,25,6.198883056640625e-05,9,17,6.842613220214844e-05,9,24,6.699562072753906e-05,9,9,2.6226043701171875e-05,Greedy
8,1.578125,1.0,0.556396484375,0,3,0.3125,0.140625,0.453125,1.0403530129838081,0.7678571428571429,23,64,0.00014019012451171875,15,34,0.0001461505889892578,15,64,0.0002002716064453125,22,15,4.792213439941406e-05,A*
3,1.2222222222222223,1.0,0.3950617283950617,0,2,0.3333333333333333,0.0,0.3333333333333333,0.9368883075390159,0.8333333333333334,5,9,2.4557113647460938e-05,5,9,3.0517578125e-05,5,9,2.0742416381835938e-05,5,5,1.239776611328125e-05,Greedy
7,1.4081632653061225,1.0,0.4048313202832153,0,3,0.30612244897959184,0.061224489795918366,0.3673469387755102,0.9131976178575216,0.6190476190476191,18,49,0.00010776519775390625,14,41,0.0001595020294189453,14,49,0.0001633167266845703,16,13,4.124641418457031e-05,A*
8,1.46875,1.0,0.4990234375,0,3,0.265625,0.109375,0.375,0.9609939881815612,0.6607142857142857,24,64,0.00014209747314453125,14,19,9.584426879882812e-05,14,63,0.0001876354217529297,19,15,4.7206878662109375e-05,A*
10,1.42,1.0,0.36360000000000015,0,3,0.33,0.05,0.38,0.863217737936728,0.5611111111111111,27,100,0.0002338886260986328,19,66,0.0003154277801513672,19,100,0.00030612945556640625,27,19,6.961822509765625e-05,A*
9,1.4197530864197532,1.0,0.3917085810089925,0,3,0.30864197530864196,0.06172839506172839,0.37037037037037035,0.886791926829441,0.5555555555555556,26,81,0.0001811981201171875,17,33,0.00014972686767578125,17,81,0.0002434253692626953,23,17,5.53131103515625e-05,A*
9,1.4567901234567902,1.0,0.4209724127419602,0,3,0.32098765432098764,0.07407407407407407,0.3950617283950617,0.9218724222340977,0.5694444444444444,24,81,0.00018358230590820312,18,65,0.00027871131896972656,18,81,0.00024271011352539062,26,17,5.459785461425781e-05,A*
9,1.5308641975308641,1.0,0.5700350556317635,0,3,0.24691358024691357,0.14814814814814814,0.3950617283950617,0.992582811559913,0.7152777777777778,20,81,0.00017786026000976562,18,61,0.000247955322265625,18,80,0.000240325927734375,27,17,5.4836273193359375e-05,A*
10,1.39,1.0,0.3779,0,3,0.28,0.06,0.34,0.8512956295531868,0.6166666666666667,29,100,0.00022125244140625,20,90,0.00038170814514160156,20,100,0.00031375885009765625,22,19,6.270408630371094e-05,A*
6,1.2777777777777777,1.0,0.31172839506172834,0,3,0.25,0.027777777777777776,0.2777777777777778,0.7988823601858047,0.45,11,36,8.559226989746094e-05,10,23,0.00010442733764648438,10,36,0.000102996826171875,15,11,3.314018249511719e-05,A*
8,1.46875,1.0,0.4365234375,0,3,0.328125,0.078125,0.40625,0.9465999033253174,0.6339285714285714,22,64,0.0001475811004638672,16,51,0.0001933574676513672,16,63,0.0002014636993408203,19,15,4.673004150390625e-05,A*
4,1.625,1.5,0.734375,0,3,0.3125,0.1875,0.5,1.2123138802671547,0.9166666666666666,11,16,3.933906555175781e-05,7,10,3.6716461181640625e-05,7,15,3.910064697265625e-05,7,7,1.9550323486328125e-05,Greedy
5,1.28,1.0,0.28159999999999996,0,2,0.32,0.0,0.32,0.7789977492971932,0.625,11,25,7.152557373046875e-05,9,19,7.43865966796875e-05,9,25,7.05718994140625e-05,10,9,2.574920654296875e-05,A*
8,1.453125,1.0,0.435302734375,0,3,0.3125,0.078125,0.390625,0.937162628627594,0.6785714285714286,20,64,0.00018405914306640625,15,35,0.00014591217041015625,15,64,0.0002143383026123047,22,15,4.839897155761719e-05,A*
4,1.3125,1.0,0.46484375,0,3,0.25,0.0625,0.3125,0.9868994488385301,0.5416666666666666,8,16,4.0531158447265625e-05,6,10,4.982948303222656e-05,6,16,4.57763671875e-05,9,7,1.9550323486328125e-05,A*
10,1.49,1.0,0.4298999999999999,0,3,0.34,0.08,0.42000000000000004,0.9353130616185161,0.6722222222222223,26,100,0.00022912025451660156,19,68,0.0003066062927246094,19,99,0.00031685829162597656,30,19,6.270408630371094e-05,A*
9,1.5061728395061729,1.0,0.49687547629934464,0,3,0.2962962962962963,0.1111111111111111,0.4074074074074074,0.9746312484409645,0.5902777777777778,23,81,0.00019431114196777344,20,74,0.00028133392333984375,20,81,0.00026535987854003906,20,17,5.5789947509765625e-05,Greedy
10,1.61,1.0,0.5779000000000001,0,3,0.3,0.16,0.45999999999999996,1.0369420617484553,0.7888888888888889,27,100,0.00022482872009277344,20,69,0.0002810955047607422,20,99,0.0003139972686767578,34,19,6.127357482910156e-05,A*
10,1.4,1.0,0.5,0,3,0.17,0.12,0.29000000000000004,0.8513884500894232,0.6055555555555555,23,100,0.0002830028533935547,18,34,0.00015664100646972656,18,99,0.0003077983856201172,23,19,6.890296936035156e-05,A*
9,1.4320987654320987,1.0,0.39353757049230303,0,3,0.32098765432098764,0.06172839506172839,0.38271604938271603,0.8949813255594791,0.6736111111111112,27,81,0.0001876354217529297,16,27,0.00011324882507324219,16,79,0.00024247169494628906,19,17,7.033348083496094e-05,A*
5,1.4,1.0,0.4,0,3,0.36,0.04,0.39999999999999997,0.9500028724426169,0.6,12,25,6.031990051269531e-05,9,17,6.628036499023438e-05,9,24,6.747245788574219e-05,13,9,2.574920654296875e-05,A*
7,1.183673469387755,1.0,0.19075385256143274,0,2,0.20408163265306123,0.0,0.20408163265306123,0.6009197879158692,0.30952380952380953,14,49,0.00010633468627929688,12,37,0.0001583099365234375,12,49,0.0001571178436279297,17,13,3.981590270996094e-05,A*
6,1.4444444444444444,1.0,0.5246913580246915,0,3,0.25,0.1111111111111111,0.3611111111111111,0.991209699167541,0.6666666666666666,15,36,8.416175842285156e-05,11,19,8.130073547363281e-05,11,36,0.00011968612670898438,17,11,3.337860107421875e-05,A*
10,1.59,1.0,0.48190000000000005,0,3,0.38,0.11,0.49,1.003107462570171,0.7722222222222223,28,100,0.0002422332763671875,19,44,0.00020647048950195312,19,100,0.0003266334533691406,28,19,6.270408630371094e-05,A*
10,1.49,1.0,0.4698999999999999,0,3,0.3,0.1,0.4,0.9488053702856657,0.6777777777777778,28,100,0.00041985511779785156,20,70,0.0005893707275390625,20,99,0.00054931640625,26,19,7.05718994140625e-05,A*
